37791.326 IndBall = 9	| H = 64528.10780	 VH = 1728.84195	 AH = -13.27332 |	A = 177118.43886	Ac = 237075.57650	Ac_pred = 297032.71414	delta_Ac = 0.25290	D = 741114.25139	throw_angle = 46.59744	TType = 0
37791.334 IndBall = 11	| H = 31280.47575	 VH = 498.30633	 AH = -53.30408 |	A = 33609.65202	Ac = 16804.82601	Ac_pred = 0.00000	delta_Ac = 1680482.60107	D = 224768.61364	throw_angle = 0.00000	TType = 0
37791.337 IndBall = 9	| H = 64528.10780	 VH = 1728.84195	 AH = -13.27332 |	A = 177118.43886	Ac = 207097.00768	Ac_pred = 237075.57650	delta_Ac = 0.14476	D = 741114.25139	throw_angle = 46.59744	TType = 0
37791.340 IndBall = 9	| H = 64528.10780	 VH = 1728.84195	 AH = -13.27332 |	A = 177118.43886	Ac = 192107.72327	Ac_pred = 207097.00768	delta_Ac = 0.07803	D = 741114.25139	throw_angle = 46.59744	TType = 0
37791.344 IndBall = 11	| H = 31731.46926	 VH = 459.15238	 AH = -35.38221 |	A = 34710.66254	Ac = 25757.74427	Ac_pred = 16804.82601	delta_Ac = 0.53276	D = 202304.13123	throw_angle = 22.17399	TType = 0
37791.344 IndBall = 9	| H = 66244.40187	 VH = 1720.88576	 AH = -12.06765 |	A = 188946.34077	Ac = 190527.03202	Ac_pred = 192107.72327	delta_Ac = 0.00830	D = 741114.25139	lambda = 14.82644	TType = 1
37791.347 IndBall = 9	| H = 66244.40187	 VH = 1720.88576	 AH = -12.06765 |	A = 188946.34077	Ac = 189736.68639	Ac_pred = 190527.03202	delta_Ac = 0.00417	D = 741114.25139	lambda = 14.76494	TType = 1
37791.347 IndBall = 11	| H = 31731.46926	 VH = 459.15238	 AH = -35.38221 |	A = 34710.66254	Ac = 30234.20341	Ac_pred = 25757.74427	delta_Ac = 0.17379	D = 202304.13123	throw_angle = 29.82771	TType = 0
37791.351 IndBall = 11	| H = 31731.46926	 VH = 459.15238	 AH = -35.38221 |	A = 34710.66254	Ac = 32472.43297	Ac_pred = 30234.20341	delta_Ac = 0.07403	D = 202304.13123	throw_angle = 29.82771	TType = 0
37791.354 IndBall = 11	| H = 31731.46926	 VH = 459.15238	 AH = -35.38221 |	A = 34710.66254	Ac = 33591.54776	Ac_pred = 32472.43297	delta_Ac = 0.03446	D = 202304.13123	throw_angle = 29.82771	TType = 0
37791.357 IndBall = 11	| H = 31731.46926	 VH = 459.15238	 AH = -35.38221 |	A = 34710.66254	Ac = 34151.10515	Ac_pred = 33591.54776	delta_Ac = 0.01666	D = 202304.13123	lambda = 6.59480	TType = 3
37791.359 IndBall = 9	| H = 67930.00361	 VH = 1706.17344	 AH = -13.13321 |	A = 178756.93543	Ac = 184246.81091	Ac_pred = 189736.68639	delta_Ac = 0.02980	D = 741114.25139	throw_angle = 46.59744	TType = 0
37791.359 IndBall = 11	| H = 32216.86018	 VH = 428.03052	 AH = -29.74021 |	A = 35297.03572	Ac = 34724.07043	Ac_pred = 34151.10515	delta_Ac = 0.01678	D = 202304.13123	lambda = 6.70544	TType = 3
